Id,MSSubClass,LotArea,OverallCond,YearBuilt,YearRemodAdd,BsmtFinSF2,TotalBsmtSF,SalePrice,Age,Remodeled,TotalRooms,ZoningLotInteraction,MSZoning_FV,MSZoning_RH,MSZoning_RL,MSZoning_RM,LotConfig_CulDSac,LotConfig_FR2,LotConfig_FR3,LotConfig_Inside,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,Exterior1st_AsphShn,Exterior1st_BrkComm,Exterior1st_BrkFace,Exterior1st_CBlock,Exterior1st_CemntBd,Exterior1st_HdBoard,Exterior1st_ImStucc,Exterior1st_MetalSd,Exterior1st_Plywood,Exterior1st_Stone,Exterior1st_Stucco,Exterior1st_VinylSd,Exterior1st_Wd Sdng,Exterior1st_WdShing
0,60,8450.0,5,2003,2003,0.0,885.1140756682377,208500.0,21,0,10,RL_Inside,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,20,9600.0,8,1976,1976,0.0,1193.540529981678,181500.0,48,0,12,RL_FR2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,60,11250.0,5,2001,2002,0.0,822.690160377555,223500.0,23,1,8,RL_Inside,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,70,9550.0,5,1915,1970,0.0,752.8992341721381,140000.0,109,1,14,RL_Corner,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,60,14260.0,5,2000,2000,0.0,1039.3722923718242,250000.0,24,0,8,RL_FR2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,50,14115.0,5,1993,1995,0.0,889.42866902031,143000.0,31,1,9,RL_Inside,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6,20,10084.0,5,2004,2005,0.0,1540.6802242665322,307000.0,20,1,14,RL_Inside,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,60,10382.0,6,1973,1973,32.0,1147.2445356340907,200000.0,51,0,13,RL_Corner,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8,50,6120.0,5,1931,1950,0.0,894.5541971580744,129900.0,93,1,8,RM_Inside,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9,190,7420.0,6,1939,1950,0.0,1018.4569185683574,118000.0,85,1,9,RL_Corner,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
